player1,player2,SetNo,P1GamesWon,P2GamesWon,P1Score,P2Score,video_name
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_36.9_387554.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_36.9_390217.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_37.0_133113.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_37.1_272014.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_37.2_219258.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_37.2_382751.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_37.3_384141.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_37.4_268488.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_37.5_269149.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_37.5_383390.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_37.8_104483.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_37.8_216246.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_37.9_45662.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_38.1_48890.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_38.2_3388.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_38.2_53949.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_38.5_196482.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_38.7_151522.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_38.7_345811.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_38.9_275244.jpg
NO MATCH,NO MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_39.9_522.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_40.4_21924.jpg
NO MATCH,NO MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_41.8_374094.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_43.0_111118.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_44.6_278073.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_45.1_5885.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_45.3_5115.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_45.7_4553.jpg
